"ID","adj.P.Val","P.Value","t","B","logFC","GenBank.Accession","Platform_SPOTID","Gene.symbol","Gene.title"
"214047_s_at",6.44748769732532e-10,2.64149473104869e-12,-8.23067215963069,17.7105256379032,-0.565790227444964,"AI913365","","MBD4","methyl-CpG binding domain 4, DNA glycosylase"
"229741_at",6.4990273420238e-10,2.67449684856947e-12,-8.22793984607564,17.6984740904169,-1.19852392203435,"AI885294","","MAVS","mitochondrial antiviral signaling protein"
"212493_s_at",6.62906799343259e-10,2.74013601557525e-12,8.22260408906855,17.6749401489168,0.651816056842309,"","","SETD2","SET domain containing 2"
"211965_at",6.75949221840143e-10,2.80641012085436e-12,8.21734464022759,17.6517437395813,1.69355565170414,"BE620915","","ZFP36L1","ZFP36 ring finger protein like 1"
"218671_s_at",7.16072097788421e-10,2.98608940641536e-12,-8.20368618458877,17.5915086905571,-0.676026234862606,"NM_016311","","ATPIF1","ATPase inhibitory factor 1"
"204011_at",7.23433007012223e-10,3.03001661830451e-12,8.20047189509835,17.577334348451,1.4929063866573,"NM_005842","","SPRY2","sprouty RTK signaling antagonist 2"
"212719_at",7.23520078286905e-10,3.04361441254665e-12,8.19948632580078,17.5729882696774,0.828238202028106,"AB011178","","PHLPP1","PH domain and leucine rich repeat protein phosphatase 1"
"215017_s_at",7.89009285496206e-10,3.33353717328987e-12,8.17945736832673,17.4846740440152,1.48736406994848,"AW270932","","FNBP1L","formin binding protein 1 like"
"223401_at",8.09212758309554e-10,3.43369656932449e-12,8.1729401396485,17.4559406937907,0.788104963106165,"BC001294","","ADPRM","ADP-ribose/CDP-alcohol diphosphatase, manganese dependent"
"226165_at",8.169623844562e-10,3.49490637469088e-12,-8.16905007975695,17.4387908567323,-0.553164386562065,"BF674436","","C8orf59","chromosome 8 open reading frame 59"
"1566079_at",8.169623844562e-10,3.49646452606769e-12,8.16895194467702,17.4383582229475,1.5767940892623,"AL833001","","RPS16P5","ribosomal protein S16 pseudogene 5"
"238106_at",8.60530389692934e-10,3.69866742712098e-12,-8.15657358698996,17.3837905690231,-1.66203895975488,"AW771190","","",""
"202497_x_at",8.69835314728575e-10,3.75457035712746e-12,8.15327044648485,17.3692303144748,2.20431172938407,"","","SLC2A3","solute carrier family 2 member 3"
